Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
1193,1.13064571363923,0.6253908086324389,0.83798713496050792,2.5065426111849196,-0.10711584410794099,-0.24554793552013396,0.09960314214064199,-0.0414565895316853,-0.867319308627592,0.62316477321017,0.111590882411065,0.503149219542329,0.727329490041208,0.174357772340476,0.684883218625957,0.29341232072629997,-0.288419298134927,-0.952502636687351,-1.49158969766224,-0.153059843881975,-0.017153643660555,-0.0143111366346421,0.0865594866244565,0.393496123381626,0.33206227629781604,-0.066378012522353,0.0138582336862935,0.0253819371654115,0,0
1443,1.07669964934738,0.136318699223954,1.45956758846995,2.7542052999126803,-0.64282346244644106,0.681681495683721,-0.64358516806686,0.35430861868432395,0.32571997233377503,0.40661020867265096,-0.999837208990072,0.00102691175192051,-0.77044275278012708,-0.35409441383189394,-0.57371056174118107,0.0789753720182086,0.12216634382472999,-0.812831361258335,-0.962203729624461,-0.253816150364729,-0.18260544931890196,-0.30274328842001,0.10353340906923501,0.0547462798726608,0.22555209844086,-0.059310632254080994,0.0552426527860942,0.0288153390186768,0,0
1444,1.0409577319795502,0.21609187923735998,1.53595339052234,2.53650724069426,-0.481435274041387,0.966521940522117,-0.68604648864028006,0.40703229830056503,-0.269951773655605,0.595640012376786,1.09472330109074,1.3509391594821798,0.70927889252070409,-0.343987755042817,-0.83634877748716907,0.489318051591067,-0.432900196538757,-0.248073106230272,-0.91505236821591585,-0.13482324885649602,0.00143708658924382,0.19537510847639003,0.0534580981863879,0.0406374598339955,0.22150740626430102,-0.03378516040671,0.0606646239509386,0.0237820171189107,0,0
1444,-0.960402765914102,1.35531588640372,2.50117133649655,3.03648845550012,-0.71281950236598213,1.05734348513293,-0.51891075682806109,0.92723539282840994,-0.656638792058169,0.27707224097698308,-1.10968171014067,-0.273956037777502,-0.653900910465794,-0.0650200129488132,0.185245716464043,-0.559372019066028,0.954904217582213,-0.408461346354068,0.85558504831236293,0.0806193513506753,-0.127067725772183,-0.13158666644841402,-0.11427899827835601,0.0701706564977442,0.0075698427483728,0.24504545386983498,0.261885825193241,0.0932025972189036,0,0
1646,1.28612164488794,-0.0170223846680513,0.18408835053574105,-0.25899116686436296,-0.391869392678392,-0.68961965302555206,-0.100592418563675,-0.0495283873568508,0.0520858890831794,-0.0134334387745359,1.1067460973915,0.530833571392091,-0.50282117571520291,0.55656593212494,0.431326827826329,0.531113723544923,-0.60419690644687,0.00697366930936244,0.586531632994946,-0.0913212178833729,-0.20944370532455198,-0.656889602364406,0.0668651273376294,0.0373018036267974,0.168011317597614,0.85211428403787,-0.0946691397534299,-0.0109800918063918,0,0
1839,-3.7663549568756496,0.0011524100931593099,1.29138855960704,3.63539310654681,-0.11816655094494401,-0.0671626510827364,-2.2864465047687204,1.75597338210586,-0.385374173799012,0.633255126651698,-1.31241047645613,0.254941881079809,-0.386138455863951,0.49043537560715006,0.32168723373339503,-0.22823277177801898,1.2858778155388402,-0.44572377651322903,0.84283817838491415,-0.307880926767925,-0.253191545396841,-0.413501604685424,-1.0851785956779598,0.184933907901855,-0.0894793441531314,0.25544545309445804,0.790232347057114,-0.61600589725119892,0,0
1840,-4.10236268074792,0.8098071780874041,0.667109180136047,3.49495603680674,-1.5217508757820701,0.58158851060692007,-1.49820883572429,2.13184694031426,-0.49955301181661704,0.508821792328595,-1.4362153190272502,0.270510145996615,-0.316262205296695,0.655079278562411,0.272116912466589,-0.0720975547382392,1.3825152439076498,-0.347072776805684,0.85596078149545907,-0.376651540115215,-0.30316090490722103,-0.20173928004682898,0.509406571910495,0.103639333943241,0.365610756270478,0.305037632780092,0.75067141696072692,-0.6962666580380501,0,0
1888,-1.9271413969678,1.36822007454421,3.49359300370819,2.6232110723162,-0.162567240110177,2.24226850855695,-0.232399652770118,-2.19934476515541,2.5240509578723502,3.4312819227076203,-1.7862073423022602,-0.81970767264060307,-0.504849452846342,-2.88114690137838,-0.75062340172153,-0.968207068896375,-0.0886281363812658,0.374655538781604,1.4734441011423303,0.82785671472808908,1.04213525669411,0.217449111260442,-0.265089488768028,-0.428025245835537,0.502872629065652,0.47171972293788395,-0.0100460058359802,-0.927001846685912,0,0
2291,1.22554940542373,0.22918716331389602,0.450741773123424,1.2230269165902599,0.368910373635755,1.12063835385173,-0.433896448480823,0.252977556390983,-0.703703426706384,0.635754962730892,0.43994989915442495,0.93276724153286394,1.7043183057426203,-0.131945555703743,0.335319512419231,1.22185280479325,-1.1921972943206,0.194385688143286,-0.48939622447851894,0.0136615959903727,0.107430129259301,0.377320364648285,-0.179145427263483,-1.25160632456698,0.362316956155767,1.1216318872128799,-0.0370211680366856,-0.0098925759387237,0,0
2371,-0.87883341125720593,0.13365703103252902,2.53404680160669,2.6098106862293102,1.51083902401391,2.0757781000377102,-0.384728565884691,0.23030005895444103,-0.367956498146701,1.0973883879156,-0.553299786289599,-0.21759084317773397,-0.0849316641752571,-0.78127480103860092,-0.29057938232054104,-0.162753425144685,-0.324116325694133,0.49009034827600895,1.87611895407228,0.173367963831057,-0.29642181289536307,-0.255484789317663,-0.583297965923895,-1.67751382698064,0.050523903790362,0.250409245594011,-0.223149121300682,-0.42076351209202,0,0
